City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapoeta,4.7717,33.5903,33.68,28,45,5.82,SS,1710439110
1,olonkinbyen,70.9221,-8.7187,-9.04,73,100,9.25,SJ,1710438860
2,waitangi,-43.9535,-176.5597,12.44,69,38,3.22,NZ,1710439110
3,akureyri,65.6835,-18.0878,-2.04,59,75,3.6,IS,1710439110
4,port mathurin,-19.6833,63.4167,26.55,79,1,9.7,MU,1710439110
5,olyokminsk,60.3736,120.4264,-14.14,94,100,2.33,RU,1710438986
6,muroto-misakicho,33.2833,134.15,12.13,59,3,1.57,JP,1710439111
7,iqaluit,63.7506,-68.5145,-14.15,72,100,1.03,CA,1710439111
8,urazovo,50.0836,38.0395,2.92,73,98,5.02,RU,1710439111
9,port-aux-francais,-49.35,70.2167,7.07,94,100,10.69,TF,1710439111
10,tomatlan,19.9333,-105.25,32.08,24,73,2.89,MX,1710439111
11,kununurra,-15.7667,128.7333,26.99,89,99,2.57,AU,1710439111
12,richards bay,-28.783,32.0377,20.89,83,100,3.74,ZA,1710438964
13,ilulissat,69.2167,-51.1,-14.49,80,100,1.04,GL,1710438962
14,kirensk,57.7853,108.1119,-8.91,97,100,1.34,RU,1710439112
15,kone,-21.0595,164.8658,25.44,91,93,1.97,NC,1710438906
16,codrington,-38.2667,141.9667,13.82,75,12,6.12,AU,1710439112
17,stanley,54.868,-1.6985,11.82,88,75,4.63,GB,1710439112
18,yellowknife,62.456,-114.3525,-5.88,87,75,1.03,CA,1710438861
19,st. john's,47.5649,-52.7093,2.31,90,100,8.23,CA,1710438830
20,ribeira grande,38.5167,-28.7,18.22,88,40,9.83,PT,1710439112
21,adamstown,-25.066,-130.1015,25.47,81,100,4.91,PN,1710438856
22,blackmans bay,-43.0167,147.3167,7.51,84,47,2.33,AU,1710439113
23,bilibino,68.0546,166.4372,-18.03,94,100,1.49,RU,1710439113
24,puerto natales,-51.7236,-72.4875,8.25,87,100,6.69,CL,1710439113
25,mersing,2.4312,103.8405,27.95,78,20,4.12,MY,1710439113
26,isiro,2.7739,27.616,28.02,41,56,1.03,CD,1710439113
27,acapulco de juarez,16.8634,-99.8901,26.23,60,47,3.79,MX,1710438944
28,kingston,17.997,-76.7936,30.53,66,20,8.75,JM,1710439113
29,brookings,44.3114,-96.7984,13.38,42,100,1.79,US,1710439113
30,uturoa,-16.7333,-151.4333,28.51,76,90,4.71,PF,1710438919
31,sisimiut,66.9395,-53.6735,-9.58,86,98,1.31,GL,1710439114
32,edinburgh of the seven seas,-37.0676,-12.3116,15.92,72,30,6.67,SH,1710438858
33,dhulikhel,27.6189,85.5529,13.75,33,0,1.23,NP,1710439114
34,mugia,43.1041,-9.2179,15.51,96,95,7.44,ES,1710439114
35,ketchikan,55.3422,-131.6461,7.41,99,100,4.11,US,1710438971
36,robertsport,6.7533,-11.3686,27.74,84,85,5.63,LR,1710439114
37,chonchi,-42.6128,-73.8092,16.18,54,65,2.84,CL,1710439114
38,bakchar,57.0186,82.0711,-10.64,94,100,3.46,RU,1710439115
39,puerto ayora,-0.7393,-90.3518,31.98,99,61,2.05,EC,1710439115
40,andergrove,-21.0833,149.1833,24.25,90,46,5.48,AU,1710439115
41,nadym,65.5333,72.5167,-23.75,100,41,3.3,RU,1710438305
42,khorixas,-20.3667,14.9667,28.12,17,0,8.06,NA,1710439115
43,papatowai,-46.5619,169.4708,7.4,87,100,5.45,NZ,1710438865
44,bethel,41.3712,-73.414,21.77,31,62,1.34,US,1710439115
45,tiksi,71.6872,128.8694,-29.19,97,70,2.73,RU,1710438906
46,talnakh,69.4865,88.3972,-17.11,95,99,3.82,RU,1710439115
47,palpa,-14.5336,-75.1856,31.27,43,83,3.12,PE,1710439116
48,tczew,54.0924,18.7779,12.03,77,95,3.3,PL,1710439116
49,gornozavodsk,58.3758,58.3211,-3.06,96,100,3.63,RU,1710439116
50,margaret river,-33.95,115.0667,18.07,82,1,4.15,AU,1710438868
51,cabo san lucas,22.8909,-109.9124,29.23,46,100,5.14,MX,1710439116
52,utrik,11.2278,169.8474,26.51,73,100,8.4,MH,1710438869
53,tigaon,13.6331,123.4968,22.47,97,61,1.53,PH,1710439116
54,kruisfontein,-34.0033,24.7314,20.49,84,66,2.94,ZA,1710439117
55,wailua homesteads,22.0669,-159.378,22.24,79,70,1.34,US,1710439030
56,porto novo,6.4965,2.6036,30.9,81,94,5.68,BJ,1710438903
57,palikir - national government center,6.9248,158.1611,27.44,76,100,8.37,FM,1710439117
58,udachny,66.4167,112.4,-32.07,98,71,1.95,RU,1710439066
59,jamestown,42.097,-79.2353,18.9,40,75,4.92,US,1710438880
60,salekhard,66.53,66.6019,-25.81,99,16,1.42,RU,1710439051
61,lillesand,58.2488,8.3778,7.41,93,75,4.12,NO,1710439117
62,selkirk,50.1436,-96.8845,3.94,84,100,1.79,CA,1710439117
63,tchintabaraden,15.8969,5.7985,34.54,12,54,2.92,NE,1710439117
64,najran,17.4924,44.1277,29.36,31,74,1.46,SA,1710439118
65,bodaybo,57.8506,114.1933,-17.46,99,100,0.87,RU,1710439118
66,hailar,49.2,119.7,-9.72,76,39,5.4,CN,1710439118
67,avarua,-21.2078,-159.775,27.03,83,40,1.03,CK,1710439118
68,levuka,50.1834,-105.4011,0.85,86,75,2.06,CA,1710439118
69,colonia,50.9333,6.95,16.6,63,0,4.63,DE,1710438983
70,nemuro,43.3236,145.575,-2.53,74,46,3.8,JP,1710439118
71,ishqoshim,36.7248,71.6133,-18.61,58,0,1.51,TJ,1710439119
72,sandnessjoen,66.0217,12.6316,4.12,87,75,10.8,NO,1710439119
73,touros,-5.1989,-35.4608,31.14,64,96,5.61,BR,1710439119
74,sabang,5.8933,95.3214,29.12,73,80,5.26,ID,1710439119
75,miles city,46.4083,-105.8406,4.17,54,100,3.84,US,1710439119
76,vadso,70.0744,29.7487,-3.51,93,100,3.6,NO,1710438861
77,bandrele,-12.9067,45.1914,28.86,79,20,4.12,YT,1710439119
78,albany,42.6001,-73.9662,18.78,42,62,1.79,US,1710438861
79,grand falls-windsor,48.9332,-55.6649,3.06,76,100,0.89,CA,1710439119
80,port lincoln,-34.7333,135.8667,17.74,80,35,9.11,AU,1710438902
81,columbia falls,48.3725,-114.1815,4.19,73,77,0.51,US,1710439120
82,lebu,-37.6167,-73.65,16.21,60,1,7.23,CL,1710439120
83,smithers,54.7804,-127.1743,6.18,70,75,1.03,CA,1710439120
84,palmer,42.1584,-72.3287,20.29,37,76,0.89,US,1710439120
85,hawaiian paradise park,19.5933,-154.9731,22.24,92,42,0.45,US,1710439120
86,arambol,15.6868,73.7045,26.94,73,0,5.52,IN,1710439120
87,urzhar,47.093,81.6294,-4.2,92,100,3.05,KZ,1710439121
88,san patricio,28.017,-97.5169,25.92,63,76,9.36,US,1710439121
89,sitka,57.0531,-135.33,4.38,93,100,2.41,US,1710438879
90,novyy urgal,51.0736,132.5642,-20.95,100,72,1.22,RU,1710439121
91,katsuura,35.1333,140.3,10.28,68,4,6.49,JP,1710439121
92,grytviken,-54.2811,-36.5092,4.8,95,69,2.76,GS,1710439121
93,ust-nera,64.5667,143.2,-30.86,100,62,1.58,RU,1710439121
94,cannonvale,-20.2833,148.7,25.66,88,43,3.86,AU,1710439121
95,khilok,51.3674,110.4676,-14.17,95,99,1.17,RU,1710439122
96,alofi,-19.0595,-169.9187,23.94,94,100,0.0,NU,1710439122
97,kidal,18.4411,1.4078,31.78,5,0,5.36,ML,1710439122
98,kodiak,57.79,-152.4072,-3.33,75,10,2.28,US,1710438863
99,vorgashor,67.5833,63.95,-25.37,100,78,1.97,RU,1710438885
100,lompoc,34.6391,-120.4579,18.8,53,0,2.68,US,1710439122
101,kavaratti,10.5669,72.642,27.98,73,1,5.72,IN,1710439122
102,ambalangoda,6.2355,80.0538,26.57,74,35,0.3,LK,1710439122
103,tlacotepec,20.0667,-97.8667,29.19,27,49,4.51,MX,1710439123
104,saint-pierre,-21.3393,55.4781,25.82,73,0,1.54,RE,1710438959
105,jeddah,21.5169,39.2192,29.92,66,0,2.57,SA,1710438521
106,gorodoviki,46.1353,41.9656,5.15,70,100,7.23,RU,1710439123
107,moshkovo,55.3053,83.6104,-11.6,92,100,5.73,RU,1710439123
108,kimbe,-5.5502,150.1429,25.2,95,100,0.85,PG,1710439123
109,kota bharu,6.1333,102.2386,26.97,83,20,1.54,MY,1710439123
110,kailua-kona,19.6406,-155.9956,24.72,72,3,0.94,US,1710439123
111,bredasdorp,-34.5322,20.0403,18.75,72,79,4.61,ZA,1710439042
112,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,86,100,22.35,RU,1710439124
113,bikenibeu village,1.3673,173.1241,25.98,100,100,2.57,KI,1710439124
114,qaqortoq,60.7167,-46.0333,-1.29,74,17,2.09,GL,1710438857
115,coronel oviedo,-25.4167,-56.45,42.83,21,4,3.38,PY,1710439124
116,aden,12.7794,45.0367,26.34,81,26,7.81,YE,1710439124
117,tuba city,36.135,-111.2399,6.32,59,58,2.68,US,1710439124
118,egilsstadir,65.2653,-14.3948,-3.05,80,75,2.06,IS,1710439125
119,colby,39.3958,-101.0524,4.03,81,100,8.23,US,1710439125
120,walvis bay,-22.9575,14.5053,20.53,68,1,5.14,NA,1710438867
121,cumnock,55.4544,-4.2664,6.82,99,100,1.41,GB,1710439091
122,minas de marcona,-15.2119,-75.1103,23.61,58,91,5.97,PE,1710439125
123,malango,-2.9627,119.9001,19.08,97,99,1.27,ID,1710439125
124,bikin,46.8161,134.26,-8.08,100,84,1.74,RU,1710439125
125,enewetak,11.3474,162.3373,26.27,78,100,8.84,MH,1710439125
126,joshimath,30.5667,79.5667,1.8,50,0,4.72,IN,1710439126
127,pagar alam,-4.0167,103.2667,20.82,90,100,1.24,ID,1710439126
128,twon-brass,4.3151,6.2418,27.32,82,100,3.82,NG,1710439126
129,iskateley,67.6803,53.1512,-14.43,96,77,3.13,RU,1710439126
130,constantia,44.1833,28.65,5.39,95,100,4.71,RO,1710438952
131,kilju,40.9642,129.3278,4.24,49,73,1.26,KP,1710439126
132,beykonak,36.3257,30.303,14.91,72,52,2.21,TR,1710439126
133,bubaque,11.2833,-15.8333,25.97,68,22,6.86,GW,1710438923
134,zaozersk,69.4005,32.4476,-4.23,97,100,0.5,RU,1710439127
135,lihue,21.9789,-159.3672,22.58,79,61,5.66,US,1710438858
136,invercargill,-46.4,168.35,7.23,86,99,2.68,NZ,1710439127
137,condado,21.8767,-79.8403,31.42,46,28,4.0,CU,1710439127
138,ola,59.5833,151.2833,-7.5,78,100,7.2,RU,1710439127
139,praia da vitoria,38.7333,-27.0667,20.14,68,40,8.57,PT,1710438950
140,dali,25.7,100.1833,8.43,63,13,2.56,CN,1710439028
141,suwayr,30.1171,40.3893,20.52,18,94,3.16,SA,1710439127
142,kill devil hills,36.0307,-75.676,24.01,23,0,2.06,US,1710439128
143,gorontalo,0.5412,123.0595,23.65,90,94,1.26,ID,1710438998
144,polyarnyy,69.1989,33.4478,-2.6,96,100,3.15,RU,1710438885
145,ar raqqah,35.95,39.0167,17.97,47,12,3.07,SY,1710439128
146,arraial do cabo,-22.9661,-42.0278,29.98,70,0,7.2,BR,1710439128
147,polna,49.487,15.7188,10.9,66,73,0.93,CZ,1710439128
148,zhezqazghan,47.7833,67.7667,-11.26,94,58,3.42,KZ,1710439128
149,crane,31.3974,-102.3501,23.04,19,0,2.87,US,1710439128
150,goure,13.9835,10.2704,33.88,10,84,3.33,NE,1710439129
151,mount pearl,47.5166,-52.7813,1.85,91,100,8.75,CA,1710439129
152,ambodifotatra,-16.9833,49.85,27.88,76,95,3.12,MG,1710439129
153,chazuta,-6.5742,-76.1367,31.47,66,94,1.17,PE,1710439129
154,villanueva,15.3167,-88.0,33.91,45,20,1.03,HN,1710439129
155,badger,64.8,-147.5333,-15.57,78,100,0.45,US,1710439129
156,afaahiti,-17.75,-149.2833,27.93,77,98,5.91,PF,1710439129
157,tazovsky,67.4667,78.7,-17.74,97,100,3.75,RU,1710438963
158,peniscola,40.3359,0.3613,18.15,85,11,1.11,ES,1710439130
159,chernogorsk,53.8236,91.2842,-5.24,63,0,4.0,RU,1710439130
160,kralendijk,12.15,-68.2667,26.9,86,58,10.14,BQ,1710439130
161,antofagasta,-23.65,-70.4,20.6,77,73,4.19,CL,1710439053
162,carbonear,47.7332,-53.2148,2.56,83,83,6.79,CA,1710439130
163,east london,-33.0153,27.9116,19.52,94,20,3.09,ZA,1710438881
164,oyama,36.3,139.8,10.88,49,2,0.82,JP,1710438935
165,erdenet,49.0333,104.0833,-8.04,91,100,1.5,MN,1710439130
166,west island,-12.1568,96.8225,26.99,74,100,3.09,CC,1710439131
167,uirauna,-6.5183,-38.4122,31.42,54,82,2.43,BR,1710439131
168,whitehorse,60.7161,-135.0538,2.83,80,40,8.75,CA,1710439131
169,pisco,-13.7,-76.2167,25.03,73,0,4.12,PE,1710439131
170,shakawe,-18.3667,21.85,27.55,41,66,2.34,BW,1710439131
171,christchurch,-43.5333,172.6333,10.82,80,90,1.03,NZ,1710439131
172,port elizabeth,-33.918,25.5701,21.72,84,0,2.57,ZA,1710438902
173,acarau,-2.8856,-40.12,29.74,72,100,5.33,BR,1710439131
174,zaraza,9.3503,-65.3245,38.73,25,59,3.28,VE,1710439132
175,aswan,24.0934,32.907,31.61,8,0,3.6,EG,1710439132
176,mahibadhoo,3.7833,72.9667,28.4,69,3,2.38,MV,1710439132
177,scottburgh,-30.2867,30.7532,20.22,83,98,1.8,ZA,1710438607
178,vilyuysk,63.7553,121.6247,-31.11,100,99,0.89,RU,1710439132
179,college,64.8569,-147.8028,-15.52,70,100,1.4,US,1710439132
180,harper,4.375,-7.7169,29.0,77,90,3.93,LR,1710439132
181,robore,-18.3333,-59.75,34.05,52,40,5.14,BO,1710439133
182,klyuchi,52.2667,79.1667,-11.25,91,91,4.43,RU,1710439133
183,orapa,-21.2833,25.3667,29.7,24,48,0.68,BW,1710439133
184,visakhapatnam,17.69,83.2093,25.97,80,20,3.79,IN,1710438847
185,gadzhiyevo,69.2551,33.3362,-2.7,97,100,2.66,RU,1710439133
186,lakatoro,-16.0999,167.4164,26.66,89,63,1.25,VU,1710439133
187,howard springs,-12.497,131.047,26.95,97,100,4.28,AU,1710439133
188,itoman,26.1247,127.6694,17.01,72,76,1.54,JP,1710439134
189,hithadhoo,-0.6,73.0833,28.43,75,11,5.34,MV,1710439134
190,sancaktepe,41.0024,29.2319,11.99,76,75,2.57,TR,1710438511
191,longyearbyen,78.2186,15.6401,-22.09,54,20,5.14,SJ,1710438863
192,anadyr,64.75,177.4833,-14.72,85,100,3.0,RU,1710439134
193,punta arenas,-53.15,-70.9167,9.06,64,75,10.29,CL,1710439134
194,esikhaleni,-28.871,31.8996,21.17,82,100,3.76,ZA,1710438934
195,vyazniki,56.25,42.1667,-2.88,91,98,4.78,RU,1710438672
196,tura,25.5198,90.2201,21.48,27,0,1.97,IN,1710439135
197,phumi veal sre,10.9808,104.7783,27.05,72,96,4.61,KH,1710439135
198,kharan,28.5833,65.4167,16.26,35,0,4.85,PK,1710439135
199,purpe,64.4803,76.6897,-19.48,100,82,3.89,RU,1710439135
200,chehalis,46.662,-122.964,9.25,100,40,2.06,US,1710439135
201,tsiombe,-25.3,45.4833,24.24,86,90,1.94,MG,1710438943
202,marondera,-18.1853,31.5519,17.5,86,96,1.13,ZW,1710439135
